1,4329,4890
2,7318,5083
3,5057,6126
4,9518,4985
5,2827,4630
6,8769,1040
7,5381,6665
8,4511,8116
9,7986,4014
10,8618,8977
11,8795,1957
12,1561,7692
13,6670,5617
14,7019,2116
15,9789,6426
16,3615,1774
17,7708,4103
18,8670,3928
19,6419,2313
20,5870,9602
21,1574,8418
22,2266,1468
23,1095,4894
24,9548,4467
25,4914,6294
26,2679,6206
27,4485,9307
28,3974,4735
29,3311,5226
30,3841,3815
31,4677,8595
32,6640,9116
33,1159,7898
34,8735,4721
35,6158,4101
36,2986,2528
37,7503,4761
38,1538,9767
39,6498,9645
40,5489,7776
41,9156,8743
42,5293,1601
43,6050,5468
44,5826,4359
45,2312,2718
46,5839,1893
47,8441,5134
48,9021,5822
49,4509,4822
50,4859,6448
